# TBJD-2450000      FLUX           FLUX_ERR
  1354.6618235    -12.1297926      0.6816875
  1354.6632124    -11.7482753      0.6818504
  1354.6646013    -11.8781433      0.6818266
  1354.6659902    -10.6521843      0.6823404
  1354.6673792     -8.7599327      0.6827064
  1354.6687681     -8.2109887      0.6826241
  1354.6701570     -8.4310096      0.6828237
  1354.6715459     -7.7455484      0.6828963
  1354.6729348     -6.8542032      0.6831906
  1354.6743238     -5.2074310      0.6834107
  1354.6757127     -4.8359173      0.6837312
  1354.6771016     -3.7276662      0.6839266
  1354.6784905     -2.7571901      0.6844205
  1354.6798794     -2.1013805      0.6844546
  1354.6812684     -1.3977090      0.6847433
  1354.6826573     -2.1026384      0.6845255
  1354.6840462     -0.6313798      0.6848805
  1354.6854351     -1.6999157      0.6847601
  1354.6868241     -0.6176621      0.6849102
  1354.6882130     -1.2351343      0.6847068
  1354.6896019     -2.2047118      0.6845295
  1354.6909908     -3.0159678      0.6844368
  1354.6923797     -4.0724634      0.6840508
  1354.6937687     -3.3682528      0.6841817
  1354.6951576     -6.1631710      0.6834275
  1354.6965465     -6.7462594      0.6831705
  1354.6979354     -8.4952847      0.6828139
  1354.6993243    -11.0549070      0.6819888
  1354.7007133    -11.5788119      0.6818412
  1354.7021022    -12.2901509      0.6816736
  1354.7034911    -12.2976387      0.6817202
  1354.7048800    -13.1315376      0.6812135
  1354.7062690    -13.9208094      0.6810181
  1354.7076579    -14.6047731      0.6810657
  1354.7090468    -14.7285910      0.6808455
  1354.7104357    -15.9191478      0.6803990
  1354.7118246    -16.2483705      0.6805142
  1354.7132136    -14.9258490      0.6808015
  1354.7146025    -16.1842152      0.6804778
  1354.7159914    -15.8347456      0.6804908
  1354.7173803    -14.4774209      0.6810426
  1354.7187692    -12.0777376      0.6815759
  1354.7201582     -9.9640275      0.6823136
  1354.7215471     -8.4948055      0.6828021
  1354.7229360     -5.6811977      0.6833414
  1354.7243249     -4.0910331      0.6840687
  1354.7257139     -2.2389160      0.6844229
  1354.7271028      1.1241749      0.6853170
  1354.7284917      1.7969968      0.6856386
  1354.7298806      0.6013482      0.6855907
  1354.7312695      1.2962141      0.6854455
  1354.7326585      0.7238483      0.6853372
  1354.7340474     -3.2123872      0.6841315
  1354.7354363     -4.0978619      0.6838777
  1354.7368252     -6.1162077      0.6834688
  1354.7382141     -7.7073906      0.6829106
  1354.7396031    -10.3886145      0.6821451
  1354.7409920    -13.3564705      0.6813380
  1354.7423809    -14.0683486      0.6812572
  1354.7437698    -16.1487531      0.6805567
  1354.7451588    -19.8316021      0.6794788
  1354.7465477    -18.6977727      0.6798449
  1354.7479366    -20.9733386      0.6790739
  1354.7493255    -19.2771471      0.6795993
  1354.7507144    -20.3789887      0.6792871
  1354.7521034    -19.9929188      0.6794092
  1354.7534923    -18.9666139      0.6796788
  1354.7548812    -18.4334840      0.6796373
  1354.7562701    -15.5978922      0.6806448
  1354.7576590    -13.9629207      0.6811507
  1354.7590480    -11.1698594      0.6819199
  1354.7604369    -10.2516181      0.6820685
  1354.7618258     -7.0818316      0.6830911
  1354.7632147     -5.9212259      0.6835560
  1354.7646037     -5.1420776      0.6837499
  1354.7659926     -3.2761830      0.6843474
  1354.7673815     -4.1934060      0.6839994
  1354.7687704     -2.6415189      0.6843121
  1354.7701593     -2.3865750      0.6844296
  1354.7715483     -4.7035933      0.6837900
  1354.7729372     -5.8616232      0.6836902
  1354.7743261     -5.5491732      0.6836196
  1354.7757150     -7.6045385      0.6830684
  1354.7771039     -8.8349303      0.6825497
  1354.7784929    -12.0793549      0.6815171
  1354.7798818    -14.6902536      0.6811332
  1354.7812707    -14.8321619      0.6809121
  1354.7826596    -16.0409291      0.6804910
  1354.7840486    -18.7110111      0.6797583
  1354.7854375    -19.9904029      0.6794048
  1354.7868264    -22.0930311      0.6790131
  1354.7882153    -23.7922777      0.6784705
  1354.7896042    -23.0459558      0.6785870
  1354.7909932    -24.4993037      0.6781837
  1354.7923821    -23.7977288      0.6783456
  1354.7937710    -22.3407268      0.6785809
  1354.7951599    -20.9562665      0.6791770
  1354.7965488    -20.4397296      0.6792935
  1354.7979378    -18.2809131      0.6801102
  1354.7993267    -15.8975231      0.6806225
  1354.8007156    -12.6872428      0.6813425
  1354.8021045     -9.9240727      0.6824731
  1354.8034935     -8.4514362      0.6827267
  1354.8048824     -8.2560352      0.6827271
  1354.8062713     -6.4607054      0.6833761
  1354.8076602     -5.5298847      0.6835439
  1354.8090491     -6.0661294      0.6833427
  1354.8104381     -7.4346558      0.6829031
  1354.8118270     -7.5400837      0.6828504
  1354.8132159     -8.6083801      0.6828113
  1354.8146048    -10.5675424      0.6822087
  1354.8159937    -10.2698284      0.6823504
  1354.8173827    -12.1603428      0.6816173
  1354.8187716    -13.0276672      0.6815689
  1354.8201605    -14.5592474      0.6811069
  1354.8215494    -16.2795795      0.6804149
  1354.8229384    -17.6282783      0.6800250
  1354.8243273    -16.5086457      0.6803967
  1354.8257162    -20.0190961      0.6796591
  1354.8271051    -20.6144045      0.6791340
  1354.8284940    -20.1651377      0.6793019
  1354.8298830    -20.1223076      0.6793730
  1354.8312719    -20.0095117      0.6794044
  1354.8326608    -20.9288313      0.6791197
  1354.8340497    -19.6137377      0.6796106
  1354.8354386    -20.2910522      0.6793594
  1354.8368276    -20.6359693      0.6792717
  1354.8382165    -18.2050768      0.6800104
  1354.8396054    -18.4630158      0.6797829
  1354.8409943    -16.7207595      0.6803499
  1354.8423832    -14.8476766      0.6808688
  1354.8437722    -14.4245273      0.6809038
  1354.8451611    -12.3838979      0.6815078
  1354.8465500    -10.7301770      0.6821960
  1354.8479389    -11.1356552      0.6821145
  1354.8493279    -12.0630615      0.6817180
  1354.8507168    -11.2379682      0.6818036
  1354.8521057    -12.6448919      0.6816146
  1354.8534946    -12.5613882      0.6815871
  1354.8548835    -12.2361191      0.6817162
  1354.8562725    -14.2324208      0.6812161
  1354.8576614    -13.1995267      0.6813272
  1354.8590503    -14.4217119      0.6809046
  1354.8604392    -14.5313928      0.6810144
  1354.8618281    -15.5001916      0.6807722
  1354.8632171    -14.8626522      0.6808700
  1354.8646060    -15.3532514      0.6804943
  1354.8659949    -16.5730406      0.6802924
  1354.8673838    -16.6832008      0.6803929
  1354.8687727    -17.9190437      0.6800332
  1354.8701617    -18.2825304      0.6799257
  1354.8715506    -17.5964103      0.6799905
  1354.8729395    -17.1859003      0.6802972
  1354.8743284    -18.8572923      0.6797133
  1354.8757174    -17.7515571      0.6801073
  1354.8771063    -17.8108603      0.6798884
  1354.8784952    -16.1247922      0.6804852
  1354.8798841    -16.0902286      0.6804195
  1354.8812730    -14.5957278      0.6807125
  1354.8826620    -14.0770344      0.6811624
  1354.8840509    -13.5875134      0.6811469
  1354.8854398    -14.0050319      0.6810023
  1354.8868287    -12.5384456      0.6815059
  1354.8882176    -13.3537150      0.6814136
  1354.8896066    -11.7839171      0.6817036
  1354.8909955    -13.7039034      0.6812977
  1354.8923844    -12.7826071      0.6815401
  1354.8937733    -12.8196866      0.6814994
  1354.8951623    -11.4673339      0.6816270
  1354.8965512    -11.0644914      0.6821960
  1354.8979401    -10.4830803      0.6820915
  1354.8993290     -9.7235799      0.6823349
  1354.9007179     -9.6103048      0.6823048
  1354.9021069    -10.6328359      0.6820027
  1354.9034958    -11.9684160      0.6819850
  1354.9048847    -12.0016018      0.6815785
  1354.9062736    -14.2898671      0.6812323
  1354.9076625    -15.3394140      0.6805414
  1354.9090515    -16.2720918      0.6805301
  1354.9104404    -17.2991155      0.6801007
  1354.9118293    -16.7499319      0.6803327
  1354.9132182    -16.2615490      0.6803475
  1354.9146071    -18.1128274      0.6797436
  1354.9159961    -17.6149800      0.6801409
  1354.9173850    -16.3063558      0.6803356
  1354.9187739    -15.9355011      0.6805344
  1354.9201628    -14.8623527      0.6808441
  1354.9215517    -14.4335725      0.6809085
  1354.9229407    -14.8635507      0.6809120
  1354.9243296    -14.4868256      0.6809824
  1354.9257185    -12.1482425      0.6815196
  1354.9271074    -13.9108656      0.6812466
  1354.9284964    -12.5848100      0.6812722
  1354.9298853    -13.6851540      0.6811154
  1354.9312742    -12.6259029      0.6815814
  1354.9326631    -11.4191126      0.6819056
  1354.9340520    -12.2681069      0.6816464
  1354.9354410    -12.3824602      0.6816950
  1354.9382188     -9.7456239      0.6824331
  1354.9396077    -10.4159299      0.6822461
  1354.9409966     -9.5856251      0.6823043
  1354.9423856     -9.9345556      0.6822589
  1354.9437745     -8.6757102      0.6825563
  1354.9451634     -9.6257596      0.6824978
  1354.9465523    -10.0443564      0.6823386
  1354.9479412    -10.0937158      0.6821857
  1354.9493302    -10.0539407      0.6821853
  1354.9507191    -10.9469632      0.6820297
  1354.9521080    -11.9088732      0.6815668
  1354.9534969    -10.1620043      0.6819940
  1354.9548859    -12.8628162      0.6813098
  1354.9562748    -11.9144441      0.6817793
  1354.9576637    -12.7703272      0.6816666
  1354.9590526    -12.6838283      0.6815959
  1354.9604415    -12.7434910      0.6815447
  1354.9618305    -13.8122067      0.6811476
  1354.9632194    -13.0974532      0.6814831
  1354.9646083    -13.6282469      0.6809860
  1354.9659972    -13.5872139      0.6812209
  1354.9673861    -14.3165834      0.6811543
  1354.9687751    -14.1157912      0.6810813
  1354.9701640    -14.0906921      0.6810083
  1354.9715529    -13.4245194      0.6812177
  1354.9729418    -12.0349674      0.6815580
  1354.9743307    -10.9681087      0.6820338
  1354.9757197     -9.6995591      0.6823877
  1354.9771086     -8.0160668      0.6828329
  1354.9784975     -7.0986043      0.6831218
  1354.9798864     -6.3547983      0.6832730
  1354.9812753     -4.6556715      0.6837353
  1354.9826643     -4.7871569      0.6836163
  1354.9840532     -3.3027197      0.6841383
  1354.9854421     -4.5074734      0.6839500
  1354.9868310     -3.9230672      0.6840018
  1354.9882200     -5.8907956      0.6833545
  1354.9896089     -5.2366033      0.6836599
  1354.9909978     -7.3678648      0.6829845
  1354.9923867     -7.9526903      0.6828259
  1354.9937756     -9.5728060      0.6824878
  1354.9951646     -9.1959012      0.6824107
  1354.9965535    -10.5328591      0.6820782
  1354.9979424    -10.1608662      0.6821455
  1354.9993313    -10.4318639      0.6822307
  1355.0007202    -11.1547041      0.6819283
  1355.0021092    -11.5410735      0.6816818
  1355.0034981    -11.1732738      0.6818193
  1355.0048870    -11.0957603      0.6817795
  1355.0062759    -12.3135727      0.6817229
  1355.0076648    -11.7122142      0.6817830
  1355.0090538    -10.9894339      0.6819258
  1355.0104427    -10.3844213      0.6820247
  1355.0118316     -9.2017117      0.6824578
  1355.0132205     -9.3436800      0.6824590
  1355.0146094     -7.7450092      0.6829070
  1355.0159984     -6.6406517      0.6832712
  1355.0173873     -5.3806083      0.6835621
  1355.0187762     -2.1127619      0.6846009
  1355.0201651     -2.9818834      0.6841985
  1355.0215541     -2.2374784      0.6845300
  1355.0229430      0.1011646      0.6850459
  1355.0243319     -0.0466142      0.6849332
  1355.0257208      1.3401824      0.6853549
  1355.0271097     -0.2424945      0.6850695
  1355.0284987      0.1571732      0.6850543
  1355.0298876     -0.4003968      0.6849638
  1355.0312765     -1.7308253      0.6846047
  1355.0326654     -3.5591612      0.6840618
  1355.0340543     -3.9206112      0.6839237
  1355.0354433     -6.2854914      0.6833342
  1355.0368322     -7.1724637      0.6831287
  1355.0382211     -8.1056806      0.6828112
  1355.0396100     -7.7829274      0.6829487
  1355.0409989     -7.8441474      0.6828631
  1355.0423879     -9.6444491      0.6822519
  1355.0437768     -7.8642147      0.6827439
  1355.0451657     -8.5060072      0.6827449
  1355.0465546     -8.3643384      0.6825491
  1355.0479435     -6.7019317      0.6831759
  1355.0493325     -5.9429105      0.6834479
  1355.0507214     -5.3386168      0.6834532
  1355.0521103     -3.0279482      0.6842152
  1355.0534992     -2.1639783      0.6847442
  1355.0548882     -2.6833906      0.6844662
  1355.0562771     -0.6888260      0.6850237
